SVVD,重箱量,提单箱量,SOC箱量,SOC空箱量,舱单收入,CY-CY收入,数字抬头收入,ARB+ARD,IHL+IHD,小箱UNIT,大箱UNIT,DOC\DCI\SLF,TSD,铁驳费用,手工驳船费,CY-CY含驳,LOCAL CHARGE,BUC,ICD,PSU,DPS,BKF,IBS,IBS返还,电商7开头费用,揽货佣金,景华峰操作费,船代佣金,未输入运费箱量,拖车箱量
IC11QSW086N,1303,1303,48,0,2075304,884049,1285,622315,373335,939,182,22420,20580,41600,580715,1464764,194320,585566,10975,47153,18660,52707,75800,4164,0,49735,6000,2931,0,669
IC15CAF185S,1482,1482,1,0,4772432,3002687,2536,804500,431241,1192,145,26720,0,410190,394310,3396997,531468,701525,10130,377462,25668,16118,112220,42800,0,63049,4290,9447,0,673
IC16TMQ021N,302,302,2,0,435822,217448,0,146495,38216,194,54,4960,7880,0,146495,363943,33663,130149,1415,4804,170,8439,20250,13670,0,10477,840,824,0,107
IC19CAI169N,2236,2236,39,0,3832818,2155281,26040,383752,737366,1334,451,35600,0,136392,247360,2402641,530379,934611,21325,319164,5938,64381,140896,67822,1616,90147,8250,4769,0,1277
IC1QNG580S,712,712,10,0,1648576,1127219,6160,80460,349386,380,166,10920,0,36750,43710,1170929,85350,286507,6780,39904,4664,13010,27772,5558,0,22952,1380,2840,0,778
IC9RIG095N,446,446,0,0,600445,349793,7265,111510,71493,218,114,6640,0,7800,103710,453503,60384,173255,4905,14988,0,15256,30140,2690,0,14469,900,948,0,175
IC16TMM059S,1374,1374,5,0,3007640,1337998,9667,892590,557312,860,257,22340,1300,117000,775590,2113588,210073,584772,25745,38974,26620,54649,89830,33014,0,35212,3990,5225,0,780
IC9Q53113S,2780,2780,8,0,7562515,5011225,47725,912491,1190364,1164,808,35000,0,404686,507805,5519030,400710,1032813,21685,152474,53219,25589,169428,54110,1582,109405,7320,16169,4,1322
IC2TMN171S,786,786,0,0,2223393,1347356,1120,291770,482239,570,108,13140,0,219195,72575,1419931,100908,353387,16130,46464,7900,20444,26100,4800,0,29714,5580,3534,0,742
IC5N8A071N,501,501,12,0,647172,492701,732,46200,52575,89,206,5900,0,0,46200,538901,54965,154765,2075,19575,13680,6980,14730,3780,0,15530,300,1296,0,73
IC5TNB213S,530,530,4,0,1088251,770157,3766,171990,79175,220,155,7080,0,38700,133290,903447,63163,196820,3230,18998,4565,3050,36550,18108,0,14695,1350,2560,0,130
